text,class
مرمزك و مبلدك والله كرهتني فيه لقب #السهيلي,tunisia
بصح ﻟﻴﻜﻴﭗ تاع البارصا مركات وحد البوت روعة ميسي كعبة وحدة,algeria
تعجبني في المسلسلات,tunisia
نشري فاها كوستيمة سروال أكحل قمجة بيضا كرافاطا بلو و نروح لموبيليس,algeria
لكح سرق البلد وشغل فلوسة بالخارج وسدد الفتات ورجع لما خسر في جريدة وكل مشاريعة بباريس جه يضحك علينا لو كان شريف يرجع كل شيء بالفائدة اما الضحك علي الغلابة لايقبلة الاقتصاديون,egypt
في الصباح ما شفتوش,algeria
بالصح سارة منين راح تجيبيهم انتي هدوما كامل,algeria
طحّان كبير,tunisia
هو انت رجعت من لندن امتى؟,egypt
نفسى اعرف ايه علاقته بالموضوع d:,egypt
حنا في القراية ولا كاين فينومان جديد تاع لاقراف,algeria
والله من الترييش,egypt
فنانة كبيرة,tunisia
لي جيتي بيه فاش شريتيه,morocco
وعلاش زعف,algeria
مهم هادا اسمه لابسيكولوجي كاين ديفورماسيون لي يعلموك  هدا الشي,algeria
الترسيم,algeria
على بالك وش قال لي,algeria
هكذاك حيت هما كيبغيوا يتزادو وما تيبغيوش يختلطو تيقولو اذا جاء شيء احد ما مزوجش ياخد واحدة من عندنا ويتخلط جنسنا ويختفي كيبغيوا يبقى جنسهم صافي,morocco
مزبلة مصرجلبت لنا العار,tunisia
المعلمات ما يرضن الا الي في مستواها حتى ولو كان ولد عمها طيب ليه,egypt
النيابة اخلت سبيله بكفالة وللاسف دى معناها ان ممكن فقط يوجه له تهمة التحريض على الضرب واعمال البلطجة فقط دون القتل لانه ببساطة الناس الى هو ماجرهم ممكن يقولوا انه قالنا اضربوه واحنا مكنش قصدنا نقتله لان ف النهاية دى بتكييف ضرب افضى الى موت ودى جناية طبعا بس مش اعدام لان نيه القتل مش متوفرة هو ضربه بعصا والعصا ليس من عادتها القتل لو كان ضربه بسكين كان الوضع اختلف ع العموم هو مطمن انه هيوكل محامي ويقول انه فى اسوأ الاحوال مجرد محرض ع الضرب فقط والدليل ان النيابة اخلت سبيله وبالطبع لا يمكن ان تخلى سبيل الاخرون انا شفت جناية مشابهها قضى فيها ع المتهمين جميعا اشغال شاقة 25 سنة نفس القصة ارض ونزاع وضرب ادى الى موت لكن هيهرب من ربنا سبحانه وتعالى فين دا قتل ف النهاية عند ربنا دا قتل عقابه الموت,egypt
فضايح تلفزات العار,tunisia
في التربية التكنولوجية جاها سؤال عطيتهولها البارح و قلت لها أحفظيه المرة الأولى جاها شوية واعر بالصح قلت لها أحفظيه,algeria
نتمنى من سيادة المحافظ النظر في مشكلة الصرف الصحى اللي مبهدلة البلد,egypt
ماتنساش تاخد أخوك معاك بس اوعى حد يعرف مكانة علشان هو مطلوب من الانتربول الدولى,egypt
اه فهمت أنا معنديش مع الأمتال,morocco
هاي الفتنة,tunisia
اللهم صبرنا على ما ابتليتنا به مناظركم دى هى اللى زودت القرف الى بنشوف في الشارع منتحرشات,egypt
المهم في الموضوع ان المفروض دا تشهير بالناس ان الصور تنزل في جريدة ويشهر بيهم هكذا من حقهم يحاسبوا الجريدة على فعتها ولا لأ ياترى,egypt
أو عندي قراية ياسر,algeria
لازم تعرفوا بلي زوز اونفرستي عرب جاو انتم و واحد من الأردن,algeria
ولكن إلى غبتي تلاتة ديال المرات كتحيد من القائمة وإلى غبتي مرة لازم تجيبي شهادة طبية النهار لي من بعد هادشي مفهش الضحك,morocco
هاه مبعديكا يهبطنا و نعديو علاها و نروحو مرة وحدة,algeria
للمرة الثالثة يارب يتمم شفاك على خير يابو معتز وترجع تنور البرلمان من تانى وصدقنى معالى الوزير ان الباجور تدعى الله عز وجل ان يتم شفاك على خير,egypt
ولاخر ها هو,morocco
بالسلامة كمال نتلاقاو في نونسي نشالله,algeria
لي تحرك غدي نضربو جوج ضربات من عندي ب العصا,morocco
مزينة,tunisia
جعفور ياتحفون ربي يحميك مالعينين ووصل رك top,tunisia
نعطيك واحد يفهمو صح تعرفه الطاهر,algeria
تسجل حديت ب الدريجة و تكتبها من بعض دعاود تكتبها ب الفصحى,morocco
أنت وسامة سور بلي أملاك الدولة تاع الطارف,algeria
وحدك يا معلم  محلاها بلادنا كي يبدى شبابها متألق برافو,tunisia
غير قولي لي العنوان,morocco
زعمة كنا خارجين و عيط الراجل لبابا على جالت القاراج,algeria
ملا مباشر الحاصل فضايح,tunisia
مالا يومة نبعتولها خويا,algeria
قالت لي قﻮلي لحسام العقل معاه و الجسم مع خاله,algeria
كنتمنا يكون الولد بخير و صافي,morocco
يسيبوا الاخوان والبرادعي ويمسكوا البلطجيه,egypt
معلم ........ربي اعينو,tunisia
منال غير تهدر على مليك راح تهبل,algeria
سحاب لي بحدكم خفت عليكم من الغول,morocco
ما تقدرش تهرب  تلقاه قدامك,algeria
أنا كون كانت عندي فرصة بش نمشي كاينة لفوضى بزاف عندنا,morocco
انا نحبها و نمو ت عليها,tunisia
"يعني لما دخل الواحد السجن المفروض يتم تأمين الحمايه للسجين , واذا مو عارفين تحموا اتركوه يحمي حاله , لازم يتم محاكمة كل شخص مسؤول بالسجن و انا بعتبره شريك بالجريمة.",egypt
و اماكن المحطات ممكن نعملها مواقف سيارات .,egypt
اكيد هما دول المتخلفين اللي حدفوا توبيس الجزائربالطوب . واولاد الحمقي اللي حدفوا طوب في مباره زيمبابوي زمان . جمهور مشاغبين بيشجع فريق بلطجيه . صحيح زبالكاويه .هاء هاء هاء هااااااااااااااااااااااااااااااااااااااااااااااااااااااااء . سمعتوا هتافاتهم في برنامج تليفزيوني مع نجومهم المزعومين كانت ازاي . ثقافه المهزومين المشتاقين لبطوله .,egypt
يا ربي فازڭ و أنا تنحط تليفوني فوقه,morocco
قال لي متشجعتيش و حطيتيهم,morocco
مسكين,algeria
شكون رح يبات مع ماما,algeria
أهدرو شوية,algeria
قال ليها خلي حتى لي صباح,morocco
قلت ليك مشاو لي الغابة و هما معرفينش كيفاش يصيدو ولاو تيهجمو على الجزارا و كاميوات اللحم,morocco
عرفتي مشيت عند الخياطة و ورعتني شي موديلات غزالين,morocco
"الظاهر العمال هما اللى ""عايشين فى خيالهم.. يقيموا فى برج عاجى وتصريحاتكم ""تهريج فى تهريج وكلها مغالطات""",egypt
متواضع و محترم,tunisia
لالا ، مدو السلاح كريمة,algeria
أجي شوف فيا,morocco
جا عصام وراها قﺎلها والله نخساب فيك لاجون,algeria
مراد شكيتو راقد,algeria
ولكن فاش تيبدا مع التمنية وتيسالي مع التسعود,morocco
سافا الحمدلله,algeria
هيه دى البدايه بس مش بداية فريق محترم بداية النهاية لفريق كان من الممكن ان يكون منافسا حقيقيا لكن يبدوا ان فلسفة المدربين هى عدم تقبل النتيجه حتى بعد صفارة النهاية فلا للتعادل ولا للهزيمه ولا سلام للمنافس مهما كانت اخطاء الحكم وهى بالفعل اخطاء مؤثرة فى تلك المباراة,egypt
بصراحة حصة كلام الناس ولاة قعدة في قهوة الحومة لعب ذر المقدم فارغ يحب التهريج واللعب وزيد البعض مالضيوف دون المستوى مما يجعل الحصة تافهة مملة فارغة المحتوى,tunisia
خليه يضحك على الناس الغرب فاكرهم انهم هبل مش واخد باله انهم بيحركو قطع الشطرنج الموجوده فلى البلد وبعدين انت مين علشان تتكلم وقدر مصر ايه الى يخليك انت تتكلم وكل العلماء يسكتو هو حكم الناس بالعافيه كفايه نصف قرن مفيش فيهم يوم حلو فى البلد,egypt
اداها بابا,algeria
ناجي الميبون,tunisia
كيما يقولو وش دار أ صلاح,algeria
ايماجيني عندك ربع و عشرين ايتيديون جاو سبعطاش,algeria
نسنا نسنا باش يعيطو على التسعة جبدت لاﭙﻮس تاعي تاع نجمة و عيطت لماما و عيطت لي بتاع بنت خالتي تاع باطل,algeria
الفوز بالتحكيم والحظ والتفويت من جانب طارق يحى جعل الفتوة واخوة الموقوف فى رحلة الغرور ولكن الاعبين ليسوا عبيد عندك والان اطمئن الزمالك فى الضياع لان الاعبين هما اصحاب الفوز من اجلهم وناديهم ومدير فنى محتلرم وليس بلطجى وبجد هانى سعيد لا يستحق ان يتدرب مع واحد زيك وباذن الله تكون نتيجة مزلزلة موعدنا مع نادى القرن الرعب سوف يغلب عليكم قل اللقاء باذن الله الفوز للاهلى العظيم وسيبقى الاهلى هو صاحب السعادة الحقيقة وسبب البطولات لمصر ولتفرح مصر بفريقها العملاق,egypt
نور شيبة ياسر عجبني باأخص في حديثو عن ناجي جلول,tunisia
ويارب البرادعى مينلهاش,egypt
يعيط لك فيها,algeria
مرت باباه ما علابالهاش بالولد لي عمرو ما يفوتش ربع سنين,algeria
كي تبدا تغني بصراحة تفكرني بالزمن الجميل و العصفور ماليح متاع مسلسل الخطاب ع الباب,tunisia
دار عمي كانو هنا دوك وين خرجو,algeria
انا تعجبني ...,tunisia
آه دكور بﺎسكو عيتي المرة اللولى قﺘﻠﮭﺎ عايشة أي فريال عيطت قﺎتلي لا أي ﺑﻴﭙﺎت برك,algeria
هو شي مليح خممتي في راجلك بصح لازم تعرفي بلي هاد الشي رايح يطلب منك مجهود كبير علاخاطرش الغيرة فطرة في المرا و واحد مايقدر ينحيهالها,algeria
قناة قوية b1,tunisia
ديما نفس الوجوه شي يفدددد,tunisia
دوك ﻧقولك,algeria
أسامة كتبرزطني,morocco
الظاهر الزلازل عتضرب كل العالم فى القريب,egypt
هي القبل كده مكنتش نزيها ولا ايه يا جمال ؟؟,egypt
 : جماهير توتنهام غادروا ويمبلي قبل نهاية المباراة .. على بيتك و ارجع ده كونتي بيوجع ,egypt
خدام ب شكل عادي,morocco
راني نتفاوض مع لي نوفو تاوعي باش يعاونوني في لا ترونسكربسيون  مازال ما تفاهمناش,algeria
الله لا يربحك,algeria
اه عندي ف ل فيستة ل كحلة فيستة ل كحلة,morocco
أنا نضن الناس يجيونا لدزاير بصح عنابة تقدر جيهم بعيدة,algeria
هاي تخدم مع مريم,algeria
عندنا مدة ماشوفناش ضيف ممتاز في التونسية ...برافو ماتر,tunisia
حاجز ديل بلعاني يا ماما غادي نموتو,morocco
وزراة الدخلية وزراة ارهابية و البوليسة كلاب,tunisia
والله برافوووو سي مقداد ياريت فما منك في الساحة السياسية يقولو كلمة الحق ومايخافو كان من ربي .... اما الله غالب نقاش حاد الليلة على خاطر فما ناس كيف لطفي وليلى صنعتهم يحطو العصا في الرايون كيف مايقولو ها,tunisia
هي في الحق ما كان علاه يتعاركوا راحت كامل,algeria
راهي تجيني تبهديلة تبان لي روحي غبية,algeria
مش عايزين فتح و لا حماس,egypt
حطيت بلعاني كلمة كتاب باش منخليش بلاصتها خاوية,morocco
شتي و انا راني ندور بالحفا,algeria
هذا التقدم ولا لوح مستوى المسلسل منحط,tunisia
قولي لها هو لا خلي الصباح,algeria
ممثلة كبيرة ولكن اتحسها مش ماخذا حقها او جات في بلاد متقدرش الفنان والمبدع,tunisia
نشفا عليها دارتها أبﺮي ديجور,algeria
للاسف انك مصري منافق والاهم بماذا تصف نفسك في اهانتك لحكم مصري وبني ادم تصفه بالحشره ومكانه صندوق الزباله شوبير اصدق منك وافضل منك وفعلا هو اللي عمل اعلام رياضي في مصر وسلملمي علي صدقك ياكداب,egypt
راحا تهبلني ندير كلش وحدي,algeria
اللهى الباقيين يتعظوا ما فيش حاجة دايمة بعد ماكان بيقف فى مجلس الشعب ويرج القاعة بصوتوا وباشاراته للاعضاء الحزب بالموافقة على كل حاجة,egypt
ممثلة موهوبة :),tunisia
ولا عيب,morocco
بصراحه فلسطين لها ناس كتير ممكن تتكلم عنها لكن احنا مالنا غير بعضنا ارحمونا بقى من قصه فلسسسطين والله اهل فلسطين مبسوطين وراضين واغنى اغنياء العالم مافي فلسطيني فقير وناس وصولين جدا وبيساعدو بعضهم لكن لا ينظرو الى الدوله الفلسطينيه باي اهتمام ولا تفرق عندهم وجعتو دماغنا بقصه فلسطين فلسطين عندنا هموم اهم من مليون فلسطين انا بحب تراب بلدي ومش فارق عندي اي دوله تانيه ارجوك يا ناشر كفايه بقى وخلينا في دولتنا الحره الابيه الناس دي تعودت عالاحتلال ولو حررتهم بيبحثو عن احد يحتلهم واشكرك وارجوو النشرررررررررر,egypt
معفرش ليوم التلات مكيناش قراية في الليل ممشيتش,morocco
يا معلم راك ماسط !! تقعد مخيب راسك,tunisia
ما نعرف وش رايك انت,algeria
نطيش عليا,algeria
لا ماشي قضية ديل مسابقات ماشي دكشي,morocco
تيمشيو يحجو ف كندا ولا شنو ؟,morocco
شبيحة_بلحة احرقوا الموتي في رابعه ونهضه مصر,egypt
نتكا علاها,algeria
شوف قدماه سور بخمسة لاف,algeria
عجبني وحد السباط طلياني روعة,algeria
نمشيو نهار الجمعة,morocco
صح بالاك هي قدي في الطول ولا زايدة عليا شعرة بالصح المهم هي تبان سمينة عليا هي دايما تلبس طالون عالي دونك إلا فاتتني شوية برك,algeria
أنا لفيونسي ديالها,algeria
المهم مالا تفوطي عليه,algeria
و اامبعد درت ايسي,algeria
شعب منافق والله وحشاء الشرفاء شعب أكثر طحان وديوث,tunisia
بالصح والله ما خسارة تطمي هكا اون سوم و تروحي بيها فواياج سمانة ولا,algeria
اداء رائع.. ابداااع قول حقيقة,tunisia
استرها يا رب وعديها علي خير وتكون الاصابت قليلة,egypt
كانو هوايش,algeria
أبﺮي تسعة سنين تلاقﺎوا,algeria
عيشة قولي لها قالت لك سارة جيت و ما لقيتش,algeria
لالا بدراهمنا,algeria
",ههههه اخا مش قلتو فسختوها قناة و قناة مخور و قناة دعاره الطف يا ربي شعب منافق الله يهدي",tunisia
ولفتك تعيطي لي ب هاد نيميرو قلت من الممكن يكون هدى لي كتستعملي ديما,morocco
كامل لابسين حوايجهم و ما يحسو بحتا حاجة و هي غير تلبس و تزيد و والو,algeria
شنو يقدو يديرو بيه,morocco
اه غدي نسرقو,morocco
شفت فيهم أنا,morocco
"""من العار عليكم .شنو مفيده ولد وما تفهم شي منو._x000D_",tunisia
لي ميساج تاعك أنا نكتبهم,algeria
محﻻها السورية لنقني بنمشي سوريا نتزوج,tunisia
أخلاق عالية شكيب برافو,tunisia
كافون كي عصام جمعة بهيم و ماشية معاه,tunisia
رانا نحكيو كمال ادا حبيت تحكي معانا شوية مرحبا بيك,algeria
يلاه نفرضو أنا لي غادي نسولك,morocco
مصالحة ماذا أيها الأبله,tunisia
طلبي منها تقولها لخوتها البنات عافاك اكريمة,morocco
صباح لخير,morocco
ايه اللي بيحصل في البوابين ده ,egypt
ادى الشعب ماشى,egypt
الغلطة فلي أستدعاه هذا راجل يكب سعده هذا عار على تونس والمسلمين حسبنا الله ونعم الوكيل,tunisia
حبيت نولي كيما لخيال بصح العباد ما خطاتنيش,algeria
درك رانا في وقت اللي عينو يتقف يروح للمكتبة ولا انترنات يدير ديروشارش كشما يفهم لروحه,algeria
لو نفتكر ان حادثة حازم امام كانت فى الدقيقة 89 يعنى كان فاضل دقيقتن على الوقت الأصلى و بأفتراض ان الوقت الضائع طول الشوط التانى 5-6 دقائق يبقى المجموع 8 دقايق خليهم 10 علشان الحبايب مش 18 دقيقة. و كمان بتقولوا الحكم ظلم الزمالك فعلا ظلمهم قوى لأنة ما لعبش 45 دقيقة وقت بدل ضائع.,egypt
أه بوسط صحيح,morocco
ساكنة عند حماتها,morocco
حاول تطفيه و عاود شعل لورديناتور,morocco
في لامان بلادي كون نروح لالجيري نحاها خلاه ما عدتش نرجعلها ما بقاتش تقزيستي في حياتي,algeria
لا ليراديو ليراديو,algeria
عارف ليه لان حتى اسمك غريب تلته الاولانى مسلم وتلته الاخير مسيحى وتلته اللى فى النص مشترك,egypt
أومبعد لقاو كهف دخلوا لقاو واحد مربوط بالسنسلة,algeria
رد علي وقالي لا حيت ما عندوش الوقت هو تيوجد الدكتوراه وغدي يناقشها الخ وماعندوش وقت,morocco
علم النفس المرضي موديل تاع عامين,algeria
يخي هما وسي حجر الديس أي قﺮيبة,algeria
حقا اني كونفيرميت مع اﻟﭙﺮوف على لكريدي تاع ليموبيليي و انت كي تقعدي اعطينا إقزوﻣﭙﻞ على كريدي تاع دار ولا تاع حانوت يعني لي كا لي كاينين كل,algeria
أدخلي  كي تكملي هاديا,algeria
المهم المشاركة,algeria
يحبها كيما بنتو,algeria
و درك جايين تتفرجوا,algeria
أنا الخميس ما نروحش للوكور تاع مسلاتي,algeria
اه من دابة شوية نطلع ل القسم سوليني علاش,morocco
داها بابا,algeria
قلت له لوكان تخدم حاجة من تاعي كي شغل انت هو لي خدمتها ما نسامحكش باسكو ربعة سنين و انا نخدم فيها,algeria
"""ماسط ...",tunisia
عيب عليك يا وليدي نقش في حيوان,tunisia
عسل شرفنا و شرف تونس انشاالله من حسن إلي أحسن...يعجبني برشا و كلمتو ما يراجعهاش التالي يستحق أحسن ممثل كوميدي تونسي بعد لمين النهدي,tunisia
لمين انت معلم,tunisia
انا متابع جيد لمقالتك فى جريدة الفجر . وعايز اسالك سوال محرج شوية. هو انتى مرتبطة؟,egypt
كاين ناس يقتنعوا من حاجة ساﻣﭙﻞ كيما هكا و ينورلهم ربي بصيرتهم,algeria
صورة اعتدنا عليها والخطأ من الركاب ايه اللي خلاهم يركبوا قطارات الموت ......,egypt
كنت كنتسناك,morocco
اه ممكن,morocco
وهذا هو الذى جرى ودفعنا إلى مؤخرة العالم،إستضافت قناة دريم والكلمة تعنى:شيئ رائع الجمال-رؤيا-حلم-منام إستضافت يوم  إبريل كلا من خيرى شلبى وعلاء الأصوانى وإبراهيم عبد المجيد المفكرين والكتاب المصريين لمناقشة الوضع العام وماحدث خلال ما قامت بة حركة  إبريل،والجواب بيبان من عنوانة،فالمسلم للمسلم كالبنيان المرصوص يشد بعضة بعضا،فلا تتنازعوا وتتفرقوا فتذهب ريحكم،فاليشد بعضكم بعضا لبر الأمان(وأدخلوا مصر إن شاء اللة آمنين)،لقد ثار الشعب العراقى على حزب البعث تقصيرا منهم فكلهم من بعض،ودخل عليهم الباعوض ليمص دمائهم،وماحدث بالبعيد يحدث بالقريب مع الحزب الوطنى فى مصر،فالنتصارح ولا نتصارع،؟راعى الغنم ؟فبالزراع مع الزراع ينجح الزراع،فنبينا الكريم صلى اللة علية وسلم قال:كلكم راع وكلكم مسؤل عن رعيتة،فهو صلى اللة علية وسلم ؟راعى الغنم؟وذلك فى صباة،وفى الكبر غنمت وأغتنت برسالتة الشعوب والأمم ،وعلت رسالتة ووصلت للآفاق ولأعلى القمم،أفلا نحسن رعاية أمورنا،قال تعالى :وشاورهم فى الأمر ،وقال تعالى :وأمرهم شورى فيما بينهم،فالنحسن ونتقن العمل،فالنتشاور ونتحاور ونجمع على حل وعقد لأمورنا كلها،لنرقى بمسارنا،فبالعلم والعمل نحقق كل أحلامنا .فأبدروا فى الأرض الخير فلا نحتاج للغير .,egypt
ولا يمكن مكاينش فين تهرب,morocco
لباهي فيك انك ولد جمعية,tunisia
لبدة تفكري تمشي ل اللوريا,morocco
بدا جديد هادا,algeria
 : رغم توتنهام بتلعب كوره حلوه ولكن تحس ان بوتشيتينو مش مستغل اقصى قدرات لاعبيه الهجوميه وفكره ان كل اللاعيبه عايزه تعدي بالك…,egypt
أعوذ بالله من الشيطان الر جيم,tunisia
تفوووووووه على هالرهط المسخ والخامج والله ڨابس تتبرأ من هالشكل هذا,tunisia
وقت لقرايا أدا أ صلاح,algeria
معلم كريم,tunisia
رؤى جيبي لي عفاك طرف ديل لقطن,morocco
بس مين يسمع ؟؟؟,egypt
إمرأة ذات طابع رجولي. و نشوف فيها فادة برشا من ااسيدة شمس اادين,tunisia
وين في الماستار,algeria
أدا ﻟﭙﺮي تيعو ميتين نلف,algeria
شفتي سيف الإسلام كي تحكم,algeria
قالت لي تانا أني لقيت بﻮست في لابﻮست,algeria
كفس مفتاخر بها و تيهدر بصوت عالي ف الكار,morocco
"هو دة الامن وربنا يخليكى لينا يا بلدنا يا حلوة يابلد "" الامن والامان "" و "" الفسيخ والبتنجان """,egypt
قلت الحق يا وليد,tunisia
أقسم بالله يفهمو غير بالعصا هبلوني تعرفي,algeria
مكقنصدش أملاك الدولة,morocco
في اللول كان تيصحاب لي بلي غادي يمشيو يزورو صافي و من تما يخطبوها,morocco
خمسة و خميس على جعفور ديما محفلها,tunisia
مسكينه تونس !,tunisia
علابالك,algeria
وبعدين مين قال إن الجزائريين ماعندهمش ثقافة، واضح إن أنت اللي ثقافتك قليلة قوي، لو ماسمعتش عن الأسماء دي يبقي العيب علي فكرة فيك أنت ويبقي في الأغلب حضرتك اللي ماعندكش ثقافة للأسف ،أحلام مستغانمي ،الطاهر وطار ،مالك بن نبي، محمد أركون، عبد الحميد بن باديس، أحمد توفيق المدني، الأخضر حامينا ،مالك حداد جتي ابن خلدون(عبد الرحمن) كتب الجزء الأول من مقدمته في الجزائر الحالية قبل انتقاله لتونس ولمصر في النهاية التي مات ودفن بها، وأخوه يحيي ابن خلدون كان مؤرخ معروف ومات في الجزائر، بالمناسبة هل سمعت سعاد ماسي في حفل القلعة في القاهرة؟,egypt
كلنا فاكرين طبعا المجرم اللي انتو خلتووه مجرم بجد ( الكابتن محمد فضل ) مع فهيم .. عشان فهيم ضربه كااااام مرة وقلة ادب واضحة من فهيم الا انكم مسكتم (فضل ) متلبس وهو بيبصف عليه .. ومع ان الكاميرا ماجبتش (فضل ) وهو بيعمل كدة الا انكم عملتو فرح ..,egypt
حلقة باه‍يا,tunisia
ماسطة حلقة اليوم من غير ليليا,tunisia
مالا غلطتي,algeria
هذيك راجل وخير من الاف راجل,tunisia
تماما حنا مشي قربنا نكتبو الحروف لفرانسوية كيف تفقنا,morocco
شنو قصة الخبز,morocco
من أحلى المنشطين، برافو أمين و انشاء الله ديما متألق,tunisia
بروبوزي انت مراد,algeria
حسوا على دمكم بقى وفوزوا وبلاش تحرقوا دمنا زى كل ماتش عشان تاخدو المركز التانى أو التالت حتى,egypt
الخمسة الخمسة و ربع بزاف,algeria
"كاين منها , هدي هي المرة اللولة اللي تجاوبي اللولة",algeria
ماخوركم يعجب التافهين فقط,tunisia
كيفاش نروحو معاك دوك,algeria
ها واش راهي ﺗقول,algeria
علي فكرة من خلال المتابعة لبعض المسيحين وجدت انهم من اهم ما يتابعوه عبر النت هوالبحث عن اي ثغرة للمسلمين من اجل مهاجمة الاسلام وينطبق عليهم المثل القائل ال بيته من قزاز ميحدفش الناس بالطوب,egypt
قلت له يا خويا حبيت نهدرلك و حشمت كيفاش نقول لك والله حشمت منك,algeria
يا جماعة مش حكاية عرضيات فى حاجات كتير غلط فى الاهلى بلاش نضحك على نفسنا,egypt
ويقول لي خاس تدير كدا وتدير هكدا ومن بعد شرحت له خدمتي وشنو بغيت ندير وتفاجأ,morocco
لواط وتحليل شرب الخمر وتشكيك فالنص القرآني لا حول ولا قوة إلا بالله اللهم لا تجعلنا مع القوم الفاسدين,tunisia
سيبون ما عدناش نحملو,algeria
سمير الوافي أحلى شخصية تونسية <3 <3,tunisia
لا ملف مهم نحطو ف بلاصة نتفكرها,morocco
قال لي عزو نوصل على السبعة و نص ﻧﻠقﺎ نص لانفي محكوم بالكراطب,algeria
الوقت تبدل صح مي القراية تقعد حاجة نتعبو عليها,algeria
واش من سوجي نهدرو عليه اليوم,algeria
شفتي كتقلب على العلامات,morocco
عجله التغيير قادمه والنظام الحالي بيترعب منها مع كل توقيع مع البرادعي,egypt
وجعتوا دمغنا بتفاهات وكلام فارغ لايسمن ولايغنى من جوع,egypt
آه رفيقة بكري كي كملت دارت دياﻳﻴﭙﻲ بﺮييوملوا,algeria
هداك النهار جيت نعيط لها نضحكها ضحكتني,algeria
نخش أنا و أميرة لي تقرا معايا,algeria
الناس بداو تيهتمو بهاد الموضوع حيت هوما ف ميريكان بداو تيخدمو ف هاد الموضوع,morocco
يا ماما كتقول ليك سارة دوصيها وش نضجت,morocco
الصراحة مش لهذه الدرجة طول لسان معادش فم حشمة  مدام خساره تونس فيك,tunisia
حتى واحد معارف شحال من دنب درت فهمتي ولا لا,morocco
كم انت منافق و رهدان يا شعب الخضراء. التوانسة الكل تتفرج فيه المسلسل و حتى الي ما يتفرجش فيه يسأل شنية صار و يجي ينبر و ينقد. شعب ليست له القدرة حتى على تحمل مسؤولية افعاله و اقواله. التونسي معروف عنه ان ما يضوي كان على البراني. المسلسلات و الافلام العربية و الاجنبية نراو فيها العجب و قمة قلة الحياء لكن هاك عادي و حلو و مقبول و رومانسي عند التونسي. و كيف يرى موقف جريء شوية في لقطة في مسلسل في بلادو تولي الطامة الكبرى. و الناس الكل تولي ملائكة و ائمة جوامع و يطيحو سب و شتم باقبح انواح الشتائم الي كيف و جوههم و تربيتهم في المخرج و المسلسل و الممثلين و يردوهم بيهم و عليهم و يزيدو و نقصو. قمة النميمة و العياذ بالله. شعب ضاربو النقص في روحو على كل المستويات. و ما زعام كان في بعضهم. هنيئا لك يا تونس بهذا الشعب.,tunisia
شحال هادي فاش كان كلشي عادي كنا تنخلصو تيليفون و الإنترنيت ف بوزراد,morocco
ستر ربي لي رحت,algeria
تعجبني برشا وإلي في قلبها على لسانها اليلا بردة على قلبي كيف عطات حق هكالواطي مقداد ههه,tunisia
معرفتش غادي تجي دابة,morocco
سورتو كي يشوفوا العوج في بلادهم,algeria
نشفا علاها,algeria
كنت غدي نقول ليك حطيها و قرايها من بعد,morocco
اذا انا بغيتها وانا في العام التاني والحمد لله جبت الباك وجبت نقط زوينة في الرياضيات والفيزياء والعلوم,morocco
زبالة حثالة إلى الأمام إلى الأمام,tunisia
وعلى رأى المثل يا مربى فى غير ولدك يا بانى فى غير ملكك بكرة الريح تطيره وراح مرتضى وجه الحس وابرهيم الصحاف وعمر حالكم ما حينصلح طب مجرد تنويم ومسكن مؤقت وبكرة تفتكروا بالمة ده وجهة دة لسة بينط من فوق الصور,egypt
أو عندي ﺗﭙﻲ,algeria
معرفتيش ملها,morocco
ماسط لاسط اللطف,tunisia
الاسماعيلى لأ؟؟؟ الأهلى آه؟؟؟؟,egypt
عائلة المرا تولفو و كلاو و من بعد مرات الراجل قلت ل الخدامة بش تنقي الدار و مشات تنعس بلا متسول على الولد,morocco
أنا مكلاسي التاسع,algeria
وكيف يسكت عليــه الرئيـس مبارك ولمــاذا نتـرك من يمتص دم الشعب بأسـلوبة وأحتكـارة للحـديد دة أنســـان شكلــة بيصفـــى حســابات قديمــة شخصيـــة مع الدولة مع مصـــر,egypt
و يحطنا في وسط لوطوروت,algeria
"""ربي يجمع شملكم _x000D_",tunisia
ما عدتش نحبو,algeria
قالت لك راحو للغابة و كوم ما يعرفوش كيفاش يصيدو هوما ولاو يزدمو على الديار و الكوامن تاع اللحم,algeria
الحمد لله الشكارة بوحدها هي لي تقاست,morocco
لا مشني نهدر على النقاط والمعامل ، نحاولو نلقاو كشما عفايس باش ناتيريوهم,algeria
مرتضى منصور شكرا على مجهودات الفظيع وجمع الاوراق والمستندات والسديهات ... ايه ياعم الحلاوه دي انت بضيع وقتك الثمين في ناس ماتستهالشي انا عايزه اشوف موقفك ومرفعتك والمستندات الجميله دي في حادثة العباره ولا ناس الي ماتوا في المقطم ولا حوادث القطارات ولا اي حاجه تمس الشعب الغلبان يا عم روح احنا قرفنا منكم كلكم ياشيلة ........,egypt
يجب ان نعرف وجهة نظر الطرف الاخر لنصل لحل و سلام ... بالمقاطعه و محاربة الحوار وعدم سماع الراي الاخر عمرها القدس ما رح رجع ... ولا اي مشكله رح تنحل رح نضل زي ما احنا ... الواحد لازم يسمع من كل الاطراف,egypt
كيف دايرين أنا زينب ا لبيبة,morocco
إما حنا باقي لقديم و كيف قال مراد تيصراو شهرين ولا تلاتة على الأكتر,morocco
واحد ما يعرفش أﻟقﻮريتميك يقراهم يتعلم,algeria
شي اسف والله,tunisia
واش حقا شفته صواش أحكيلي,algeria
